Date,Price
26 Nov 2023,7999
27 Nov 2023,7999
28 Nov 2023,7999
29 Nov 2023,7999
30 Nov 2023,7999
01 Dec 2023,7999
02 Dec 2023,7999
03 Dec 2023,7999
04 Dec 2023,7999
05 Dec 2023,7999
06 Dec 2023,7999
07 Dec 2023,7999
08 Dec 2023,7999
09 Dec 2023,7999
10 Dec 2023,7999
11 Dec 2023,7999
12 Dec 2023,7999
13 Dec 2023,7999
14 Dec 2023,7999
15 Dec 2023,7999
16 Dec 2023,7999
17 Dec 2023,7999
18 Dec 2023,7999
19 Dec 2023,7999
20 Dec 2023,7999
21 Dec 2023,7999
22 Dec 2023,7999
23 Dec 2023,6999
24 Dec 2023,6999
25 Dec 2023,6999
26 Dec 2023,6999
27 Dec 2023,6999
28 Dec 2023,6999
29 Dec 2023,7999
30 Dec 2023,7999
31 Dec 2023,7999
01 Jan 2024,6999
02 Jan 2024,6999
03 Jan 2024,6999
04 Jan 2024,6999
05 Jan 2024,6199
06 Jan 2024,6199
07 Jan 2024,6199
08 Jan 2024,6199
09 Jan 2024,6199
10 Jan 2024,7999
11 Jan 2024,7999
12 Jan 2024,6699
13 Jan 2024,6699
14 Jan 2024,6699
15 Jan 2024,6699
16 Jan 2024,6699
17 Jan 2024,6699
18 Jan 2024,6699
19 Jan 2024,6699
20 Jan 2024,6699
21 Jan 2024,7999
22 Jan 2024,7999
23 Jan 2024,7999
24 Jan 2024,7999
25 Jan 2024,7999
26 Jan 2024,7999
27 Jan 2024,7999
28 Jan 2024,7999
29 Jan 2024,7999
30 Jan 2024,7999
31 Jan 2024,7999
01 Feb 2024,7999
02 Feb 2024,7999
03 Feb 2024,7999
04 Feb 2024,7999
05 Feb 2024,7999
06 Feb 2024,7999
07 Feb 2024,7999
08 Feb 2024,7999
09 Feb 2024,7999
10 Feb 2024,7999
11 Feb 2024,7999
12 Feb 2024,7999
13 Feb 2024,5999
14 Feb 2024,5999
15 Feb 2024,5999
16 Feb 2024,5999
17 Feb 2024,5999
18 Feb 2024,5999
19 Feb 2024,5999
20 Feb 2024,5999
21 Feb 2024,5999
22 Feb 2024,5999
23 Feb 2024,5999
24 Feb 2024,5999
25 Feb 2024,5999
26 Feb 2024,5999
27 Feb 2024,5999
28 Feb 2024,5999
29 Feb 2024,5999
01 Mar 2024,5999
02 Mar 2024,5999
03 Mar 2024,5999
04 Mar 2024,5999
05 Mar 2024,5999
06 Mar 2024,5999
07 Mar 2024,5999
08 Mar 2024,5999
09 Mar 2024,5999
10 Mar 2024,5999
11 Mar 2024,5999
12 Mar 2024,5999
13 Mar 2024,5999
14 Mar 2024,5999
15 Mar 2024,5699
16 Mar 2024,5699
17 Mar 2024,5699
18 Mar 2024,5699
19 Mar 2024,5699
20 Mar 2024,5699
21 Mar 2024,5699
22 Mar 2024,5699
23 Mar 2024,5699
24 Mar 2024,5699
25 Mar 2024,5699
26 Mar 2024,5699
27 Mar 2024,5699
28 Mar 2024,5699
29 Mar 2024,5699
30 Mar 2024,5699
31 Mar 2024,5699
01 Apr 2024,5699
02 Apr 2024,5699
03 Apr 2024,5699
04 Apr 2024,5699
05 Apr 2024,5699
06 Apr 2024,5699
07 Apr 2024,5699
08 Apr 2024,6699
09 Apr 2024,6699
10 Apr 2024,5599
11 Apr 2024,5599
12 Apr 2024,5599
13 Apr 2024,5599
14 Apr 2024,5599
15 Apr 2024,5599
16 Apr 2024,7999
17 Apr 2024,7999
18 Apr 2024,7999
19 Apr 2024,7999
20 Apr 2024,7999
21 Apr 2024,7999
22 Apr 2024,7999
23 Apr 2024,7999
24 Apr 2024,7999
25 Apr 2024,7999
26 Apr 2024,7999
27 Apr 2024,7999
28 Apr 2024,7999
29 Apr 2024,7999
30 Apr 2024,7999
01 May 2024,7999
02 May 2024,7999
03 May 2024,7999
04 May 2024,7999
05 May 2024,7999
06 May 2024,7999
07 May 2024,7999
08 May 2024,7999
09 May 2024,7999
10 May 2024,5599
11 May 2024,5599
12 May 2024,5599
13 May 2024,5599
14 May 2024,5599
15 May 2024,5599
16 May 2024,5599
17 May 2024,5599
18 May 2024,5599
19 May 2024,7999
20 May 2024,7999
21 May 2024,7999
22 May 2024,7999
23 May 2024,7999
24 May 2024,7999
25 May 2024,7999
26 May 2024,7999
27 May 2024,7999
28 May 2024,7999
29 May 2024,7999
30 May 2024,7999
31 May 2024,7999
01 Jun 2024,7999
02 Jun 2024,7999
03 Jun 2024,7999
04 Jun 2024,7999
05 Jun 2024,7999
06 Jun 2024,7999
07 Jun 2024,7999
08 Jun 2024,7999
09 Jun 2024,7999
10 Jun 2024,7999
11 Jun 2024,7999
12 Jun 2024,7999
13 Jun 2024,7999
14 Jun 2024,7999
15 Jun 2024,7999
16 Jun 2024,7999
17 Jun 2024,7999
18 Jun 2024,7999
19 Jun 2024,7999
20 Jun 2024,7999
21 Jun 2024,7999
22 Jun 2024,7999
23 Jun 2024,7999
24 Jun 2024,7999
25 Jun 2024,7999
26 Jun 2024,7999
27 Jun 2024,7999
28 Jun 2024,7999
29 Jun 2024,7999
30 Jun 2024,7999
01 Jul 2024,7999
02 Jul 2024,7999
03 Jul 2024,7999
04 Jul 2024,7999
05 Jul 2024,7999
06 Jul 2024,7999
07 Jul 2024,7999
08 Jul 2024,7999
09 Jul 2024,7999
10 Jul 2024,7999
11 Jul 2024,7999
12 Jul 2024,7999
13 Jul 2024,7999
14 Jul 2024,7999
15 Jul 2024,7999
16 Jul 2024,7999
17 Jul 2024,7999
18 Jul 2024,7999
19 Jul 2024,7999
20 Jul 2024,7999
21 Jul 2024,7999
22 Jul 2024,7999
23 Jul 2024,7999
24 Jul 2024,7999
25 Jul 2024,7999
26 Jul 2024,7999
27 Jul 2024,7999
28 Jul 2024,7999
29 Jul 2024,7999
30 Jul 2024,7999
31 Jul 2024,7999
01 Aug 2024,7999
02 Aug 2024,7999
03 Aug 2024,7999
04 Aug 2024,7999
05 Aug 2024,7999
06 Aug 2024,7999
07 Aug 2024,7999
08 Aug 2024,7999
09 Aug 2024,7999
10 Aug 2024,7999
11 Aug 2024,7999
12 Aug 2024,7999
13 Aug 2024,7999
14 Aug 2024,7999
15 Aug 2024,7999
16 Aug 2024,7999
17 Aug 2024,7999
18 Aug 2024,7999
19 Aug 2024,7999
20 Aug 2024,7999
21 Aug 2024,7999
22 Aug 2024,7999
23 Aug 2024,7999
24 Aug 2024,7999
25 Aug 2024,7999
26 Aug 2024,7999
