Date,Price
27 Mar 2024,58999
28 Mar 2024,58999
29 Mar 2024,58999
30 Mar 2024,58999
31 Mar 2024,58999
01 Apr 2024,58999
02 Apr 2024,58999
03 Apr 2024,58999
04 Apr 2024,58999
05 Apr 2024,58999
06 Apr 2024,58999
07 Apr 2024,58999
08 Apr 2024,58999
09 Apr 2024,58999
10 Apr 2024,58999
11 Apr 2024,58999
12 Apr 2024,58999
13 Apr 2024,58999
14 Apr 2024,58999
15 Apr 2024,58999
16 Apr 2024,58999
17 Apr 2024,58999
18 Apr 2024,58999
19 Apr 2024,58999
20 Apr 2024,58999
21 Apr 2024,58999
22 Apr 2024,58999
23 Apr 2024,58999
24 Apr 2024,58999
25 Apr 2024,58999
26 Apr 2024,58999
27 Apr 2024,58999
28 Apr 2024,58999
29 Apr 2024,58999
30 Apr 2024,58999
01 May 2024,58999
02 May 2024,58999
03 May 2024,54999
04 May 2024,54999
05 May 2024,54999
06 May 2024,54999
07 May 2024,54999
08 May 2024,54999
09 May 2024,54999
10 May 2024,54999
11 May 2024,54999
12 May 2024,54999
13 May 2024,54999
14 May 2024,54999
15 May 2024,54999
16 May 2024,54999
17 May 2024,54999
18 May 2024,54999
19 May 2024,54999
20 May 2024,54999
21 May 2024,54999
22 May 2024,54999
23 May 2024,54999
24 May 2024,54999
25 May 2024,54999
26 May 2024,54999
27 May 2024,54999
28 May 2024,54999
29 May 2024,54999
30 May 2024,54999
31 May 2024,54999
01 Jun 2024,54999
02 Jun 2024,54999
03 Jun 2024,54999
04 Jun 2024,54999
05 Jun 2024,54999
06 Jun 2024,54999
07 Jun 2024,54999
08 Jun 2024,54999
09 Jun 2024,54999
10 Jun 2024,54999
11 Jun 2024,54999
12 Jun 2024,54999
13 Jun 2024,54999
14 Jun 2024,54999
15 Jun 2024,54999
16 Jun 2024,54999
17 Jun 2024,54999
18 Jun 2024,54999
19 Jun 2024,54999
20 Jun 2024,54999
21 Jun 2024,54999
22 Jun 2024,54999
23 Jun 2024,54999
24 Jun 2024,54999
25 Jun 2024,54999
26 Jun 2024,54999
27 Jun 2024,54999
28 Jun 2024,54999
29 Jun 2024,54999
30 Jun 2024,54999
01 Jul 2024,54999
02 Jul 2024,54999
03 Jul 2024,54999
04 Jul 2024,54999
05 Jul 2024,54999
06 Jul 2024,54999
07 Jul 2024,54999
08 Jul 2024,54999
09 Jul 2024,54999
10 Jul 2024,54999
11 Jul 2024,54999
12 Jul 2024,54999
13 Jul 2024,54999
14 Jul 2024,54999
15 Jul 2024,54999
16 Jul 2024,54999
17 Jul 2024,54999
18 Jul 2024,54999
19 Jul 2024,54999
20 Jul 2024,54999
21 Jul 2024,54999
22 Jul 2024,54999
23 Jul 2024,54999
24 Jul 2024,54999
25 Jul 2024,54999
26 Jul 2024,54999
27 Jul 2024,54999
28 Jul 2024,54999
29 Jul 2024,54999
30 Jul 2024,54999
31 Jul 2024,54999
01 Aug 2024,54999
02 Aug 2024,54999
03 Aug 2024,54999
04 Aug 2024,54999
05 Aug 2024,54999
06 Aug 2024,54999
07 Aug 2024,54999
08 Aug 2024,54999
09 Aug 2024,54999
10 Aug 2024,54999
11 Aug 2024,54999
12 Aug 2024,54999
13 Aug 2024,54999
14 Aug 2024,54999
15 Aug 2024,54999
16 Aug 2024,54999
17 Aug 2024,54999
18 Aug 2024,54999
19 Aug 2024,54999
20 Aug 2024,54999
21 Aug 2024,54999
22 Aug 2024,54999
23 Aug 2024,54999
24 Aug 2024,54999
25 Aug 2024,54999
26 Aug 2024,54999
27 Aug 2024,54999
28 Aug 2024,54999
29 Aug 2024,54999
30 Aug 2024,54999
31 Aug 2024,54999
01 Sep 2024,54999
02 Sep 2024,54999
03 Sep 2024,54999
04 Sep 2024,54999
05 Sep 2024,54999
06 Sep 2024,54999
07 Sep 2024,54999
08 Sep 2024,54999
09 Sep 2024,54999
10 Sep 2024,54999
11 Sep 2024,54999
12 Sep 2024,54999
13 Sep 2024,54999
14 Sep 2024,54999
15 Sep 2024,54999
16 Sep 2024,54999
17 Sep 2024,54999
18 Sep 2024,54999
19 Sep 2024,54999
20 Sep 2024,54999
21 Sep 2024,54999
22 Sep 2024,54999
23 Sep 2024,54999
24 Sep 2024,54999
25 Sep 2024,54999
26 Sep 2024,54999
27 Sep 2024,54999
28 Sep 2024,54999
29 Sep 2024,54999
30 Sep 2024,54999
01 Oct 2024,54999
02 Oct 2024,54999
03 Oct 2024,54999
04 Oct 2024,54999
05 Oct 2024,54999
06 Oct 2024,54999
07 Oct 2024,54999
08 Oct 2024,54999
09 Oct 2024,54999
10 Oct 2024,54999
11 Oct 2024,54999
12 Oct 2024,54999
13 Oct 2024,54999
14 Oct 2024,54999
15 Oct 2024,54999
16 Oct 2024,54999
17 Oct 2024,54999
18 Oct 2024,54999
19 Oct 2024,54999
20 Oct 2024,54999
21 Oct 2024,54999
22 Oct 2024,54999
23 Oct 2024,54999
24 Oct 2024,54999
25 Oct 2024,54999
26 Oct 2024,54999
27 Oct 2024,54999
28 Oct 2024,54999
29 Oct 2024,54999
30 Oct 2024,54999
31 Oct 2024,54999
01 Nov 2024,54999
02 Nov 2024,54999
03 Nov 2024,54999
04 Nov 2024,54999
05 Nov 2024,54999
06 Nov 2024,54999
07 Nov 2024,54999
08 Nov 2024,54999
09 Nov 2024,54999
10 Nov 2024,54999
11 Nov 2024,54999
12 Nov 2024,54999
13 Nov 2024,54999
14 Nov 2024,54999
15 Nov 2024,54999
16 Nov 2024,54999
17 Nov 2024,54999
18 Nov 2024,54999
19 Nov 2024,54999
20 Nov 2024,54999
21 Nov 2024,54999
22 Nov 2024,54999
23 Nov 2024,54999
24 Nov 2024,54999
25 Nov 2024,54999
26 Nov 2024,54999
27 Nov 2024,54999
28 Nov 2024,54999
29 Nov 2024,54999
30 Nov 2024,54999
01 Dec 2024,54999
02 Dec 2024,54999
03 Dec 2024,54999
04 Dec 2024,54999
05 Dec 2024,54999
06 Dec 2024,54999
07 Dec 2024,54999
08 Dec 2024,54999
09 Dec 2024,54999
10 Dec 2024,54999
11 Dec 2024,54999
12 Dec 2024,54999
13 Dec 2024,54999
14 Dec 2024,54999
15 Dec 2024,54999
16 Dec 2024,54999
17 Dec 2024,54999
18 Dec 2024,54999
19 Dec 2024,54999
20 Dec 2024,54999
21 Dec 2024,54999
22 Dec 2024,54999
23 Dec 2024,54999
24 Dec 2024,54999
25 Dec 2024,54999
26 Dec 2024,54999
27 Dec 2024,54999
28 Dec 2024,54999
29 Dec 2024,54999
30 Dec 2024,54999
31 Dec 2024,54999
01 Jan 2025,54999
02 Jan 2025,54999
03 Jan 2025,54999
04 Jan 2025,54999
05 Jan 2025,54999
06 Jan 2025,54999
07 Jan 2025,54999
08 Jan 2025,54999
09 Jan 2025,54999
10 Jan 2025,54999
11 Jan 2025,54999
12 Jan 2025,54999
13 Jan 2025,54999
14 Jan 2025,54999
15 Jan 2025,54999
16 Jan 2025,54999
17 Jan 2025,54999
18 Jan 2025,54999
19 Jan 2025,54999
20 Jan 2025,54999
21 Jan 2025,54999
22 Jan 2025,54999
23 Jan 2025,54999
24 Jan 2025,54999
25 Jan 2025,54999
26 Jan 2025,54999
27 Jan 2025,54999
28 Jan 2025,54999
29 Jan 2025,54999
30 Jan 2025,54999
31 Jan 2025,54999
01 Feb 2025,54999
02 Feb 2025,54999
03 Feb 2025,54999
04 Feb 2025,54999
05 Feb 2025,54999
06 Feb 2025,54999
07 Feb 2025,54999
08 Feb 2025,54999
09 Feb 2025,54999
10 Feb 2025,54999
11 Feb 2025,54999
12 Feb 2025,54999
13 Feb 2025,54999
14 Feb 2025,54999
15 Feb 2025,54999
16 Feb 2025,54999
17 Feb 2025,54999
18 Feb 2025,54999
19 Feb 2025,54999
20 Feb 2025,54999
21 Feb 2025,54999
22 Feb 2025,54999
23 Feb 2025,54999
24 Feb 2025,54999
25 Feb 2025,54999
26 Feb 2025,54999
27 Feb 2025,54999
28 Feb 2025,54999
01 Mar 2025,54999
02 Mar 2025,54999
03 Mar 2025,54999
04 Mar 2025,54999
05 Mar 2025,54999
06 Mar 2025,54999
07 Mar 2025,54999
08 Mar 2025,54999
09 Mar 2025,54999
10 Mar 2025,54999
11 Mar 2025,54999
12 Mar 2025,54999
13 Mar 2025,54999
14 Mar 2025,54999
15 Mar 2025,54999
16 Mar 2025,54999
17 Mar 2025,54999
18 Mar 2025,54999
19 Mar 2025,54999
20 Mar 2025,54999
21 Mar 2025,54999
22 Mar 2025,54999
23 Mar 2025,54999
24 Mar 2025,54999
25 Mar 2025,54999
26 Mar 2025,54999
27 Mar 2025,54999
28 Mar 2025,54999
29 Mar 2025,54999
30 Mar 2025,54999
31 Mar 2025,54999
01 Apr 2025,54999
02 Apr 2025,54999
03 Apr 2025,54999
04 Apr 2025,54999
05 Apr 2025,54999
06 Apr 2025,54999
07 Apr 2025,54999
08 Apr 2025,54999
09 Apr 2025,54999
10 Apr 2025,54999
11 Apr 2025,54999
12 Apr 2025,54999
13 Apr 2025,54999
14 Apr 2025,54999
15 Apr 2025,54999
16 Apr 2025,54999
17 Apr 2025,54999
18 Apr 2025,54999
19 Apr 2025,54999
20 Apr 2025,54999
21 Apr 2025,54999
22 Apr 2025,54999
23 Apr 2025,54999
24 Apr 2025,54999
25 Apr 2025,54999
26 Apr 2025,54999
27 Apr 2025,54999
28 Apr 2025,54999
29 Apr 2025,54999
30 Apr 2025,54999
01 May 2025,54999
02 May 2025,52499
03 May 2025,52499
04 May 2025,52499
05 May 2025,52499
06 May 2025,52499
07 May 2025,52499
08 May 2025,52499
09 May 2025,54999
10 May 2025,54999
11 May 2025,54999
12 May 2025,52499
13 May 2025,52499
14 May 2025,52499
15 May 2025,52499
16 May 2025,52499
17 May 2025,54999
18 May 2025,54999
19 May 2025,54999
20 May 2025,54999
21 May 2025,54999
22 May 2025,54999
23 May 2025,54999
24 May 2025,54999
25 May 2025,54999
26 May 2025,54999
27 May 2025,54999
28 May 2025,54999
29 May 2025,54999
30 May 2025,54999
31 May 2025,54999
01 Jun 2025,54999
02 Jun 2025,54999
03 Jun 2025,54999
04 Jun 2025,54999
05 Jun 2025,54999
06 Jun 2025,54999
07 Jun 2025,54999
08 Jun 2025,54999
09 Jun 2025,54999
10 Jun 2025,54999
11 Jun 2025,54999
12 Jun 2025,54999
13 Jun 2025,54999
14 Jun 2025,54999
15 Jun 2025,54999
16 Jun 2025,54999
17 Jun 2025,54999
18 Jun 2025,54999
19 Jun 2025,54999
20 Jun 2025,54999
21 Jun 2025,54999
22 Jun 2025,54999
23 Jun 2025,54999
24 Jun 2025,54999
25 Jun 2025,54999
26 Jun 2025,54999
27 Jun 2025,54999
28 Jun 2025,54999
29 Jun 2025,54999
30 Jun 2025,54999
01 Jul 2025,54999
02 Jul 2025,54999
03 Jul 2025,54999
04 Jul 2025,54999
05 Jul 2025,54999
06 Jul 2025,52990
07 Jul 2025,52990
08 Jul 2025,52990
09 Jul 2025,52999
10 Jul 2025,52999
11 Jul 2025,52999
12 Jul 2025,52999
13 Jul 2025,52999
14 Jul 2025,52999
15 Jul 2025,52999
16 Jul 2025,52999
17 Jul 2025,52999
18 Jul 2025,52999
19 Jul 2025,52999
20 Jul 2025,52999
21 Jul 2025,52999
22 Jul 2025,52999
23 Jul 2025,52999
24 Jul 2025,52999
25 Jul 2025,52999
26 Jul 2025,52999
27 Jul 2025,52999
28 Jul 2025,52999
29 Jul 2025,52999
30 Jul 2025,52999
31 Jul 2025,52990
01 Aug 2025,52990
02 Aug 2025,52990
